Servo 1 	 Servo 2 	 Servo 3 	 Servo 4 
  0.500 	   0.500 	   0.500 	   0.500 
  0.500 	   0.500 	   0.500 	   0.500 
  0.500 	   0.500 	   0.500 	   0.500 
  0.500 	   0.500 	   0.500 	   0.500 
  0.500 	   0.500 	   0.500 	   0.510 
  0.500 	   0.500 	   0.500 	   0.520 
  0.500 	   0.500 	   0.500 	   0.530 
  0.500 	   0.500 	   0.500 	   0.520 
  0.500 	   0.500 	   0.500 	   0.510 
  0.500 	   0.500 	   0.500 	   0.500 
  0.500 	   0.500 	   0.500 	   0.490 
  0.500 	   0.500 	   0.500 	   0.480 
  0.500 	   0.500 	   0.500 	   0.470 
  0.500 	   0.500 	   0.500 	   0.460 
  0.500 	   0.500 	   0.500 	   0.450 
  0.500 	   0.500 	   0.500 	   0.440 
  0.500 	   0.500 	   0.500 	   0.430 
  0.500 	   0.500 	   0.500 	   0.420 
  0.500 	   0.500 	   0.500 	   0.410 
  0.500 	   0.500 	   0.500 	   0.400 
  0.500 	   0.500 	   0.500 	   0.390 
  0.500 	   0.500 	   0.500 	   0.380 
  0.500 	   0.500 	   0.500 	   0.370 
  0.500 	   0.500 	   0.500 	   0.360 
  0.500 	   0.500 	   0.500 	   0.230 
  0.500 	   0.500 	   0.500 	   0.220 
  0.500 	   0.510 	   0.500 	   0.220 
  0.500 	   0.520 	   0.500 	   0.220 
  0.500 	   0.530 	   0.500 	   0.220 
  0.500 	   0.540 	   0.500 	   0.220 
  0.500 	   0.550 	   0.500 	   0.220 
  0.500 	   0.560 	   0.500 	   0.220 
  0.500 	   0.570 	   0.500 	   0.220 
  0.500 	   0.580 	   0.500 	   0.220 
  0.500 	   0.590 	   0.500 	   0.220 
  0.500 	   0.600 	   0.500 	   0.220 
  0.500 	   0.610 	   0.500 	   0.220 
  0.500 	   0.620 	   0.500 	   0.220 
  0.500 	   0.630 	   0.500 	   0.220 
  0.500 	   0.630 	   0.510 	   0.220 
  0.500 	   0.630 	   0.520 	   0.220 
  0.500 	   0.630 	   0.530 	   0.220 
  0.500 	   0.630 	   0.540 	   0.220 
  0.500 	   0.630 	   0.550 	   0.220 
  0.500 	   0.630 	   0.560 	   0.220 
  0.500 	   0.630 	   0.570 	   0.220 
  0.500 	   0.630 	   0.580 	   0.220 
  0.500 	   0.630 	   0.590 	   0.220 
  0.500 	   0.630 	   0.600 	   0.220 
  0.500 	   0.630 	   0.610 	   0.220 
  0.500 	   0.630 	   0.620 	   0.220 
  0.500 	   0.630 	   0.630 	   0.220 
  0.500 	   0.630 	   0.640 	   0.220 
  0.500 	   0.630 	   0.650 	   0.220 
  0.500 	   0.630 	   0.660 	   0.220 
  0.500 	   0.630 	   0.670 	   0.220 
  0.500 	   0.630 	   0.680 	   0.220 
  0.500 	   0.630 	   0.690 	   0.220 
  0.500 	   0.630 	   0.700 	   0.220 
  0.500 	   0.630 	   0.700 	   0.210 
  0.500 	   0.630 	   0.700 	   0.200 
  0.500 	   0.630 	   0.700 	   0.190 
  0.500 	   0.630 	   0.700 	   0.180 
  0.500 	   0.630 	   0.700 	   0.170 
  0.500 	   0.630 	   0.700 	   0.160 
  0.500 	   0.630 	   0.700 	   0.150 
  0.500 	   0.630 	   0.700 	   0.140 
  0.500 	   0.630 	   0.700 	   0.130 
  0.500 	   0.630 	   0.780 	   0.130 
  0.500 	   0.630 	   0.780 	   0.140 
  0.500 	   0.630 	   0.780 	   0.150 
  0.500 	   0.630 	   0.780 	   0.160 
  0.500 	   0.630 	   0.780 	   0.170 
  0.500 	   0.630 	   0.780 	   0.180 
  0.500 	   0.630 	   0.780 	   0.190 
  0.500 	   0.630 	   0.780 	   0.200 
  0.500 	   0.630 	   0.780 	   0.210 
  0.500 	   0.630 	   0.780 	   0.220 
  0.500 	   0.630 	   0.780 	   0.230 
  0.500 	   0.630 	   0.780 	   0.240 
  0.500 	   0.630 	   0.780 	   0.250 
  0.500 	   0.630 	   0.780 	   0.260 
  0.500 	   0.630 	   0.780 	   0.270 
  0.500 	   0.630 	   0.780 	   0.280 
  0.500 	   0.630 	   0.780 	   0.290 
  0.500 	   0.630 	   0.780 	   0.300 
  0.500 	   0.630 	   0.780 	   0.310 
  0.500 	   0.630 	   0.780 	   0.320 
  0.500 	   0.630 	   0.780 	   0.330 
  0.510 	   0.630 	   0.780 	   0.330 
  0.520 	   0.630 	   0.780 	   0.330 
  0.530 	   0.630 	   0.780 	   0.330 
  0.530 	   0.620 	   0.780 	   0.330 
  0.530 	   0.610 	   0.780 	   0.330 
  0.530 	   0.600 	   0.780 	   0.330 
  0.530 	   0.590 	   0.780 	   0.330 
  0.530 	   0.580 	   0.780 	   0.330 
  0.530 	   0.570 	   0.780 	   0.330 
  0.530 	   0.560 	   0.780 	   0.330 
  0.530 	   0.550 	   0.780 	   0.330 
  0.530 	   0.540 	   0.780 	   0.330 
  0.530 	   0.530 	   0.780 	   0.330 
  0.530 	   0.520 	   0.780 	   0.330 
  0.530 	   0.510 	   0.780 	   0.330 
  0.530 	   0.500 	   0.780 	   0.330 
  0.530 	   0.490 	   0.780 	   0.330 
  0.530 	   0.480 	   0.780 	   0.330 
  0.530 	   0.470 	   0.780 	   0.330 
  0.530 	   0.460 	   0.780 	   0.330 
  0.530 	   0.450 	   0.780 	   0.330 
  0.530 	   0.440 	   0.780 	   0.330 
  0.530 	   0.430 	   0.780 	   0.330 
  0.530 	   0.270 	   0.780 	   0.330 
  0.530 	   0.260 	   0.780 	   0.330 
  0.530 	   0.270 	   0.780 	   0.330 
  0.530 	   0.280 	   0.780 	   0.330 
  0.530 	   0.290 	   0.780 	   0.330 
  0.530 	   0.300 	   0.780 	   0.330 
  0.530 	   0.310 	   0.780 	   0.330 
  0.530 	   0.320 	   0.780 	   0.330 
  0.530 	   0.330 	   0.780 	   0.330 
  0.530 	   0.340 	   0.780 	   0.330 
  0.530 	   0.350 	   0.780 	   0.330 
  0.530 	   0.360 	   0.780 	   0.330 
  0.530 	   0.370 	   0.780 	   0.330 
  0.530 	   0.380 	   0.780 	   0.330 
  0.530 	   0.390 	   0.780 	   0.330 
  0.530 	   0.400 	   0.780 	   0.330 
  0.530 	   0.410 	   0.780 	   0.330 
  0.530 	   0.420 	   0.780 	   0.330 
  0.530 	   0.430 	   0.780 	   0.330 
  0.530 	   0.440 	   0.780 	   0.330 
  0.530 	   0.450 	   0.780 	   0.330 
  0.530 	   0.460 	   0.780 	   0.330 
  0.530 	   0.510 	   0.780 	   0.330 
  0.530 	   0.520 	   0.780 	   0.330 
  0.530 	   0.530 	   0.780 	   0.330 
  0.530 	   0.520 	   0.780 	   0.330 
  0.530 	   0.510 	   0.780 	   0.330 
  0.530 	   0.500 	   0.780 	   0.330 
  0.530 	   0.490 	   0.780 	   0.330 
  0.530 	   0.480 	   0.780 	   0.330 
  0.530 	   0.470 	   0.780 	   0.330 
  0.530 	   0.460 	   0.780 	   0.330 
  0.530 	   0.450 	   0.780 	   0.330 
  0.530 	   0.440 	   0.780 	   0.330 
  0.530 	   0.440 	   0.770 	   0.330 
  0.530 	   0.440 	   0.760 	   0.330 
  0.530 	   0.440 	   0.750 	   0.330 
  0.530 	   0.440 	   0.740 	   0.330 
  0.530 	   0.440 	   0.730 	   0.330 
  0.530 	   0.440 	   0.720 	   0.330 
  0.530 	   0.440 	   0.710 	   0.330 
  0.530 	   0.440 	   0.700 	   0.330 
  0.530 	   0.440 	   0.690 	   0.330 
  0.530 	   0.440 	   0.680 	   0.330 
  0.530 	   0.440 	   0.670 	   0.330 
  0.530 	   0.440 	   0.660 	   0.330 
  0.540 	   0.440 	   0.660 	   0.330 
  0.550 	   0.440 	   0.660 	   0.330 
  0.560 	   0.440 	   0.660 	   0.330 
  0.570 	   0.440 	   0.660 	   0.330 
  0.560 	   0.440 	   0.660 	   0.330 
  0.550 	   0.440 	   0.660 	   0.330 
  0.540 	   0.440 	   0.660 	   0.330 
  0.530 	   0.440 	   0.660 	   0.330 
  0.520 	   0.440 	   0.660 	   0.330 
  0.510 	   0.440 	   0.660 	   0.330 
  0.500 	   0.440 	   0.660 	   0.330 
  0.490 	   0.440 	   0.660 	   0.330 
  0.480 	   0.440 	   0.660 	   0.330 
  0.470 	   0.440 	   0.660 	   0.330 
  0.460 	   0.440 	   0.660 	   0.330 
  0.450 	   0.440 	   0.660 	   0.330 
  0.440 	   0.440 	   0.660 	   0.330 
  0.440 	   0.440 	   0.650 	   0.330 
  0.440 	   0.440 	   0.640 	   0.330 
  0.440 	   0.440 	   0.630 	   0.330 
