Servo 1 	 Servo 2 	 Servo 3 	 Servo 4 
  0.500 	   0.500 	   0.510 	   0.500 
  0.500 	   0.500 	   0.520 	   0.500 
  0.500 	   0.500 	   0.530 	   0.500 
  0.500 	   0.500 	   0.540 	   0.500 
  0.500 	   0.500 	   0.550 	   0.500 
  0.500 	   0.500 	   0.560 	   0.500 
  0.500 	   0.500 	   0.570 	   0.500 
  0.500 	   0.500 	   0.580 	   0.500 
  0.500 	   0.500 	   0.590 	   0.500 
  0.500 	   0.500 	   0.600 	   0.500 
  0.500 	   0.500 	   0.610 	   0.500 
  0.500 	   0.500 	   0.620 	   0.500 
  0.500 	   0.500 	   0.630 	   0.500 
  0.500 	   0.500 	   0.640 	   0.500 
  0.500 	   0.500 	   0.650 	   0.500 
  0.500 	   0.500 	   0.660 	   0.500 
  0.500 	   0.500 	   0.670 	   0.500 
  0.500 	   0.500 	   0.680 	   0.500 
  0.500 	   0.500 	   0.690 	   0.500 
  0.500 	   0.500 	   0.700 	   0.500 
  0.500 	   0.500 	   0.790 	   0.500 
  0.500 	   0.500 	   0.800 	   0.500 
  0.500 	   0.500 	   0.810 	   0.500 
  0.500 	   0.500 	   0.820 	   0.500 
  0.500 	   0.500 	   0.830 	   0.500 
  0.500 	   0.500 	   0.840 	   0.500 
  0.500 	   0.500 	   0.850 	   0.500 
  0.500 	   0.500 	   0.850 	   0.490 
  0.500 	   0.500 	   0.850 	   0.480 
  0.500 	   0.500 	   0.850 	   0.470 
  0.500 	   0.500 	   0.850 	   0.460 
  0.500 	   0.500 	   0.850 	   0.450 
  0.500 	   0.500 	   0.850 	   0.440 
  0.500 	   0.500 	   0.850 	   0.430 
  0.500 	   0.500 	   0.850 	   0.420 
  0.500 	   0.500 	   0.850 	   0.410 
  0.500 	   0.500 	   0.850 	   0.400 
  0.500 	   0.500 	   0.850 	   0.390 
  0.500 	   0.500 	   0.850 	   0.380 
  0.500 	   0.500 	   0.850 	   0.370 
  0.500 	   0.500 	   0.850 	   0.360 
  0.500 	   0.500 	   0.850 	   0.350 
  0.500 	   0.500 	   0.850 	   0.340 
  0.510 	   0.500 	   0.850 	   0.340 
  0.520 	   0.500 	   0.850 	   0.340 
  0.510 	   0.500 	   0.850 	   0.340 
  0.500 	   0.500 	   0.850 	   0.340 
  0.490 	   0.500 	   0.850 	   0.340 
  0.480 	   0.500 	   0.850 	   0.340 
  0.470 	   0.500 	   0.850 	   0.340 
  0.460 	   0.500 	   0.850 	   0.340 
  0.450 	   0.500 	   0.850 	   0.340 
  0.440 	   0.500 	   0.850 	   0.340 
  0.430 	   0.500 	   0.850 	   0.340 
  0.420 	   0.500 	   0.850 	   0.340 
  0.410 	   0.500 	   0.850 	   0.340 
  0.400 	   0.500 	   0.850 	   0.340 
  0.390 	   0.500 	   0.850 	   0.340 
  0.380 	   0.500 	   0.850 	   0.340 
  0.370 	   0.500 	   0.850 	   0.340 
  0.370 	   0.500 	   0.850 	   0.330 
  0.370 	   0.500 	   0.850 	   0.320 
  0.370 	   0.500 	   0.850 	   0.310 
  0.370 	   0.500 	   0.850 	   0.300 
  0.370 	   0.500 	   0.850 	   0.290 
  0.370 	   0.500 	   0.850 	   0.280 
  0.370 	   0.500 	   0.850 	   0.270 
  0.370 	   0.500 	   0.850 	   0.260 
  0.370 	   0.500 	   0.850 	   0.250 
  0.370 	   0.500 	   0.840 	   0.250 
  0.370 	   0.500 	   0.830 	   0.250 
  0.370 	   0.500 	   0.820 	   0.250 
  0.370 	   0.500 	   0.810 	   0.250 
  0.370 	   0.500 	   0.800 	   0.250 
  0.370 	   0.500 	   0.790 	   0.250 
  0.370 	   0.500 	   0.780 	   0.250 
  0.370 	   0.500 	   0.770 	   0.250 
  0.370 	   0.500 	   0.760 	   0.250 
  0.370 	   0.500 	   0.750 	   0.250 
  0.370 	   0.500 	   0.740 	   0.250 
  0.370 	   0.500 	   0.730 	   0.250 
  0.370 	   0.500 	   0.720 	   0.250 
  0.370 	   0.500 	   0.710 	   0.250 
  0.370 	   0.500 	   0.700 	   0.250 
  0.380 	   0.500 	   0.700 	   0.250 
  0.390 	   0.500 	   0.700 	   0.250 
  0.400 	   0.500 	   0.700 	   0.250 
  0.410 	   0.500 	   0.700 	   0.250 
  0.420 	   0.500 	   0.700 	   0.250 
  0.430 	   0.500 	   0.700 	   0.250 
  0.440 	   0.500 	   0.700 	   0.250 
  0.440 	   0.510 	   0.700 	   0.250 
  0.440 	   0.520 	   0.700 	   0.250 
  0.440 	   0.530 	   0.700 	   0.250 
  0.440 	   0.540 	   0.700 	   0.250 
  0.440 	   0.550 	   0.700 	   0.250 
  0.440 	   0.540 	   0.700 	   0.250 
  0.440 	   0.530 	   0.700 	   0.250 
  0.440 	   0.520 	   0.700 	   0.250 
  0.440 	   0.510 	   0.700 	   0.250 
  0.440 	   0.500 	   0.700 	   0.250 
  0.440 	   0.490 	   0.700 	   0.250 
  0.440 	   0.480 	   0.700 	   0.250 
  0.440 	   0.490 	   0.700 	   0.250 
  0.440 	   0.500 	   0.700 	   0.250 
  0.440 	   0.510 	   0.700 	   0.250 
  0.440 	   0.500 	   0.700 	   0.250 
  0.450 	   0.500 	   0.700 	   0.250 
  0.460 	   0.500 	   0.700 	   0.250 
  0.470 	   0.500 	   0.700 	   0.250 
  0.480 	   0.500 	   0.700 	   0.250 
  0.480 	   0.500 	   0.700 	   0.260 
  0.480 	   0.500 	   0.700 	   0.270 
  0.480 	   0.500 	   0.700 	   0.280 
  0.480 	   0.500 	   0.700 	   0.290 
  0.480 	   0.500 	   0.700 	   0.300 
  0.480 	   0.500 	   0.700 	   0.310 
  0.480 	   0.500 	   0.700 	   0.320 
  0.480 	   0.500 	   0.700 	   0.330 
  0.480 	   0.500 	   0.700 	   0.340 
  0.480 	   0.500 	   0.700 	   0.350 
  0.480 	   0.500 	   0.700 	   0.360 
  0.480 	   0.500 	   0.700 	   0.370 
  0.480 	   0.500 	   0.700 	   0.380 
  0.480 	   0.500 	   0.700 	   0.390 
  0.480 	   0.500 	   0.700 	   0.400 
  0.480 	   0.500 	   0.700 	   0.410 
  0.480 	   0.500 	   0.700 	   0.420 
  0.480 	   0.500 	   0.700 	   0.430 
  0.480 	   0.500 	   0.700 	   0.440 
  0.480 	   0.500 	   0.690 	   0.440 
  0.480 	   0.500 	   0.680 	   0.440 
  0.480 	   0.500 	   0.670 	   0.440 
  0.480 	   0.500 	   0.660 	   0.440 
  0.480 	   0.500 	   0.650 	   0.440 
  0.480 	   0.500 	   0.640 	   0.440 
  0.480 	   0.500 	   0.630 	   0.440 
  0.480 	   0.500 	   0.620 	   0.440 
  0.480 	   0.500 	   0.610 	   0.440 
  0.480 	   0.500 	   0.600 	   0.440 
  0.480 	   0.500 	   0.590 	   0.440 
  0.480 	   0.500 	   0.580 	   0.440 
  0.480 	   0.500 	   0.570 	   0.440 
  0.480 	   0.500 	   0.560 	   0.440 
  0.480 	   0.500 	   0.550 	   0.440 
  0.480 	   0.500 	   0.540 	   0.440 
  0.480 	   0.500 	   0.530 	   0.440 
  0.480 	   0.500 	   0.520 	   0.440 
  0.480 	   0.500 	   0.510 	   0.440 
  0.480 	   0.500 	   0.510 	   0.450 
  0.480 	   0.500 	   0.510 	   0.500 
  0.490 	   0.500 	   0.510 	   0.500 
  0.500 	   0.500 	   0.510 	   0.500 
  0.510 	   0.500 	   0.510 	   0.500 
  0.500 	   0.500 	   0.510 	   0.500 
  0.500 	   0.510 	   0.510 	   0.500 
  0.500 	   0.510 	   0.500 	   0.500 
  0.530 	   0.440 	   0.660 	   0.330 
  0.540 	   0.440 	   0.660 	   0.330 
  0.550 	   0.440 	   0.660 	   0.330 
  0.560 	   0.440 	   0.660 	   0.330 
  0.570 	   0.440 	   0.660 	   0.330 
  0.560 	   0.440 	   0.660 	   0.330 
  0.550 	   0.440 	   0.660 	   0.330 
  0.540 	   0.440 	   0.660 	   0.330 
  0.530 	   0.440 	   0.660 	   0.330 
  0.520 	   0.440 	   0.660 	   0.330 
  0.510 	   0.440 	   0.660 	   0.330 
  0.500 	   0.440 	   0.660 	   0.330 
  0.490 	   0.440 	   0.660 	   0.330 
  0.480 	   0.440 	   0.660 	   0.330 
  0.470 	   0.440 	   0.660 	   0.330 
  0.460 	   0.440 	   0.660 	   0.330 
  0.450 	   0.440 	   0.660 	   0.330 
  0.440 	   0.440 	   0.660 	   0.330 
  0.440 	   0.440 	   0.650 	   0.330 
  0.440 	   0.440 	   0.640 	   0.330 
  0.440 	   0.440 	   0.630 	   0.330 
  0.440 	   0.440 	   0.620 	   0.330 
  0.440 	   0.440 	   0.610 	   0.330 
  0.440 	   0.440 	   0.600 	   0.330 
  0.440 	   0.440 	   0.590 	   0.330 
  0.440 	   0.440 	   0.580 	   0.330 
  0.440 	   0.440 	   0.570 	   0.330 
  0.440 	   0.440 	   0.560 	   0.330 
  0.440 	   0.440 	   0.550 	   0.330 
  0.440 	   0.440 	   0.540 	   0.330 
  0.440 	   0.440 	   0.530 	   0.330 
  0.440 	   0.440 	   0.520 	   0.330 
  0.440 	   0.440 	   0.510 	   0.330 
  0.440 	   0.440 	   0.500 	   0.330 
  0.440 	   0.440 	   0.490 	   0.330 
  0.440 	   0.440 	   0.500 	   0.330 
  0.440 	   0.440 	   0.500 	   0.360 
  0.440 	   0.440 	   0.500 	   0.370 
  0.440 	   0.440 	   0.500 	   0.380 
  0.440 	   0.440 	   0.500 	   0.390 
  0.440 	   0.440 	   0.500 	   0.400 
  0.440 	   0.440 	   0.500 	   0.410 
  0.440 	   0.440 	   0.500 	   0.420 
  0.440 	   0.440 	   0.500 	   0.430 
  0.440 	   0.440 	   0.500 	   0.440 
  0.440 	   0.440 	   0.500 	   0.450 
  0.440 	   0.440 	   0.500 	   0.460 
  0.440 	   0.440 	   0.500 	   0.470 
